cid,month,spending,transaction
30,9,89.00,30
31,3,157.81,28
31,5,224.72,36
31,7,156.09,32
31,8,63.88,25
31,9,158.42,39
32,3,55.26,27
32,5,68.75,31
32,8,283.02,44
32,9,223.84,47
32,10,39.35,27
32,11,88.11,28
33,2,151.46,33
33,3,118.98,54
33,4,494.59,38
33,6,126.62,28
33,9,111.00,28
33,11,189.37,39
33,12,47.85,16
34,1,62.39,23
34,2,95.31,25
34,3,46.90,27
34,4,73.49,41
34,5,120.57,39
34,6,76.78,22
34,8,95.65,38
34,9,50.16,38
34,12,112.84,27
35,1,215.99,29
35,2,43.50,23
35,3,40.06,34
35,4,100.66,27
35,7,140.56,32
35,10,55.67,25
35,11,154.28,24
36,1,93.28,22
36,2,94.81,29
36,3,57.26,29
36,4,134.29,32
36,5,110.72,37
36,8,72.24,25
36,9,177.55,28
36,10,56.07,30
36,11,215.33,28
36,12,43.93,19
37,1,59.56,21
37,2,78.75,32
37,4,53.93,32
37,9,85.24,29
38,1,45.47,15
38,2,77.53,25
38,3,45.67,53
38,5,108.49,34
38,6,128.04,33
38,7,107.45,34
38,10,29.95,11
39,1,47.81,16
39,4,71.23,24
39,5,182.94,40
39,6,79.49,32
39,8,58.46,22
39,9,73.79,23
39,10,123.69,35
39,11,73.04,31
39,12,70.56,23
40,2,64.26,23
40,3,28.18,12
40,4,284.89,28
40,6,99.14,23
40,8,79.57,40
40,10,85.90,24
40,11,47.78,22
40,12,84.80,33
41,1,71.47,26
41,2,56.96,18
41,4,68.72,25
41,6,82.86,37
41,9,100.83,32
41,10,116.85,26
41,12,64.80,23
42,1,89.99,35
42,2,53.43,26
42,3,81.43,31
42,5,137.28,41
42,7,64.34,31
42,8,196.65,32
42,11,96.05,32
42,12,93.37,30
43,3,65.15,34
43,7,107.42,37
43,11,144.40,45
44,2,37.22,41
44,4,50.55,44
44,5,91.64,23
44,7,171.81,29
44,9,119.23,49
44,11,208.89,27
44,12,196.11,29
45,3,42.85,17
45,4,117.25,29
45,5,44.56,23
45,6,84.73,29
45,7,70.00,19
45,9,139.82,34
45,10,134.07,25
45,11,124.96,35
45,12,121.14,41
46,1,86.08,27
46,2,46.76,24
46,3,51.09,32
46,4,63.51,30
46,5,80.74,24
46,7,46.11,28
46,8,99.87,52
46,11,51.92,25
46,12,265.18,33
47,1,154.06,38
47,2,58.19,18
47,6,78.93,22
47,7,77.00,23
47,10,49.54,16
47,11,33.10,14
48,2,169.75,28
48,3,36.59,16
48,5,34.12,26
48,6,42.73,18
48,7,63.29,19
48,8,109.93,27
48,10,95.99,23
48,11,73.16,28
48,12,90.49,32
49,1,134.41,39
49,2,144.55,72
49,4,124.65,25
49,6,45.01,16
49,12,81.00,20
50,2,122.25,39
50,4,291.92,30
50,8,68.87,47
50,9,153.33,39
50,10,89.07,43
50,12,80.25,23
51,2,141.63,28
51,4,84.69,24
51,5,65.57,20
51,6,53.75,27
51,7,204.15,46
51,10,54.67,18
51,11,77.07,37
51,12,44.72,21
52,1,64.66,31
52,2,67.22,34
52,4,36.15,56
52,5,59.59,31
52,6,32.77,21
52,7,53.63,18
52,10,187.27,26
52,12,129.61,31
53,1,279.58,33
53,3,66.91,34
53,4,90.42,61
53,5,64.00,33
53,6,47.64,29
53,7,90.81,25
53,8,55.10,21
53,9,75.03,22
53,11,205.98,29
54,2,41.18,23
54,3,68.53,24
54,4,38.84,14
54,6,58.66,22
54,7,57.42,32
54,9,127.82,29
54,11,43.58,25
55,1,62.58,35
55,2,43.24,24
55,3,78.08,21
55,4,78.99,33
55,6,53.39,25
55,7,112.22,28
55,9,55.77,25
55,10,118.25,35
55,11,41.50,16
55,12,48.31,24
56,1,94.58,31
56,2,85.69,26
56,4,96.08,38
56,6,52.85,24
56,7,107.94,39
56,9,35.34,17
56,10,192.47,49
56,11,93.98,26
56,12,57.23,22
57,2,106.39,31
57,3,68.27,38
57,4,36.55,12
57,6,42.46,19
57,7,32.04,10
57,8,185.28,32
57,9,85.09,22
57,12,144.25,31
58,2,48.79,24
58,3,167.10,39
58,4,86.97,22
58,8,78.73,23
58,10,37.27,14
58,11,106.40,43
59,1,39.23,14
59,2,113.58,26
59,4,61.51,39
59,5,172.46,28
59,6,52.49,43
59,7,174.67,26
59,8,169.46,53
59,9,42.62,14
59,10,59.95,24
59,11,48.73,24
60,1,64.93,29
60,2,67.61,37
60,6,133.19,24
60,7,32.22,22
60,8,76.18,31
60,9,33.89,15
60,10,54.99,19
60,11,98.03,32
61,1,71.80,30
61,2,65.93,33
61,3,52.69,22
61,4,57.93,20
61,5,51.02,25
61,6,73.90,22
61,8,46.38,27
61,10,88.92,48
61,12,152.04,42
62,2,76.59,23
62,5,97.15,24
62,6,81.35,29
62,7,35.32,11
62,8,144.04,35
62,10,82.62,26
62,11,50.00,25
63,1,45.01,23
63,2,35.61,28
63,5,61.50,36
63,6,196.28,31
63,8,56.07,20
63,9,483.53,34
63,11,110.35,33
63,12,57.72,23
64,1,200.24,28
64,2,60.43,22
64,4,153.90,29
64,6,118.92,29
64,8,42.50,23
64,9,59.98,31
64,10,84.73,41
65,2,74.07,23
65,3,100.70,36
65,5,87.70,23
65,6,53.86,31
65,8,95.07,30
65,9,164.67,25
65,12,151.34,38
66,1,41.35,35
66,3,42.52,23
66,4,55.67,35
66,7,179.87,35
66,11,108.02,47
67,1,46.74,20
67,2,28.97,9
67,3,68.57,22
67,4,77.63,45
67,5,83.84,24
67,6,62.52,24
67,8,57.72,33
67,9,45.58,28
67,10,62.07,45
67,11,94.94,27
67,12,32.27,12
68,4,101.81,29
68,5,455.63,55
68,6,48.69,18
68,8,138.24,62
68,9,48.80,26
68,11,284.68,29
68,12,53.32,34
69,5,36.76,17
69,6,239.68,27
69,7,93.59,26
69,8,290.64,28
69,10,36.85,37
70,1,168.32,39
70,2,48.73,16
70,6,64.37,26
70,7,85.06,21
70,8,111.79,22
70,10,47.65,18
70,12,92.55,30
71,1,63.08,19
71,5,54.31,18
71,6,40.07,15
71,9,72.45,27
71,11,78.31,84
72,2,89.61,23
72,4,68.52,21
72,5,74.73,33
72,6,94.14,28
72,8,172.00,39
72,10,41.55,15
72,11,43.93,21
72,12,57.01,30
73,1,125.72,40
73,2,69.74,28
73,3,889.98,36
73,4,86.22,31
73,6,75.07,40
73,7,73.40,33
73,8,57.24,20
73,11,50.12,31
73,12,62.34,25
74,4,152.35,38
74,5,102.71,23
74,6,105.75,29
74,7,117.49,43
74,9,58.48,22
74,10,92.47,31
74,12,35.75,12
75,1,38.72,13
75,2,92.15,38
75,3,95.14,28
75,6,76.14,21
75,8,135.89,33
75,9,50.25,76
75,10,50.18,120
75,11,50.90,23
75,12,106.12,29
76,1,46.36,19
76,2,81.24,22
76,3,136.75,28
76,4,107.46,53
76,5,82.47,36
76,7,29.97,11
76,12,66.92,37
77,1,51.66,18
77,2,151.76,27
77,3,78.09,29
77,4,51.29,28
77,7,77.86,32
77,9,418.11,30
77,10,67.88,36
77,11,130.38,26
78,1,158.26,42
78,4,91.90,26
78,5,197.61,27
78,6,64.24,26
78,7,401.63,35
78,8,48.26,24
78,11,43.98,18
79,1,36.86,22
79,3,81.63,27
79,4,104.85,28
79,5,156.53,34
79,6,101.53,25
79,7,43.14,26
79,8,164.39,36
79,9,41.62,26
79,10,152.24,28
79,11,83.08,32
79,12,218.91,39
80,1,221.69,28
80,5,70.78,33
80,6,237.33,29
80,8,54.62,25
80,9,41.11,19
80,11,85.93,54
80,12,45.52,36
81,2,125.82,32
81,4,82.37,21
81,5,722.24,41
81,6,36.77,50
81,7,119.11,26
81,9,108.09,25
81,10,63.64,40
81,11,82.96,22
81,12,50.45,35
82,1,92.58,26
82,2,41.20,41
82,4,98.62,28
82,5,71.22,37
82,6,84.28,24
82,7,95.46,36
82,8,70.90,28
82,9,44.15,24
82,10,34.93,19
82,12,197.23,33
83,1,48.21,31
83,2,218.17,45
83,3,80.39,20
83,4,56.46,17
83,5,66.29,26
83,6,199.34,39
83,7,67.09,21
83,9,80.17,26
83,11,129.82,40
83,12,73.61,19
84,3,56.50,27
84,4,67.34,21
84,7,136.74,43
84,9,43.28,15
84,10,39.96,20
84,11,53.61,32
84,12,75.39,35
85,1,115.61,40
85,4,38.16,19
85,6,73.72,22
85,7,65.49,26
85,8,50.33,16
85,10,110.39,39
85,11,85.22,35
85,12,43.12,14
86,1,164.12,46
86,2,146.27,34
86,5,64.71,22
86,6,83.19,23
86,9,66.56,27
86,10,162.25,49
87,1,68.94,40
87,5,40.44,21
87,6,46.78,37
87,7,46.39,19
87,8,44.72,19
87,9,77.54,27
87,10,197.92,44
87,11,181.17,37
87,12,34.33,36
88,2,168.16,50
88,4,290.06,31
88,8,443.35,41
88,9,183.60,27
88,10,98.28,39
88,11,46.64,19
89,1,89.55,21
89,2,116.55,30
89,4,112.72,22
89,6,47.80,20
89,9,256.56,45
89,11,202.65,32
89,12,50.98,19
90,1,75.43,23
90,2,76.05,20
90,4,76.80,62
90,5,73.67,28
90,6,104.39,38
90,8,63.71,26
90,11,49.95,31
90,12,58.82,39
91,1,122.35,28
91,3,60.98,18
91,4,67.87,33
91,6,56.02,26
91,7,69.38,67
91,12,102.61,25
92,2,196.77,44
92,3,75.99,32
92,4,85.51,50
92,5,52.80,23
92,6,64.10,46
92,12,153.97,27
93,2,92.55,29
93,3,38.32,18
93,4,61.80,18
93,6,52.36,26
93,7,86.54,30
93,8,98.81,28
93,12,49.96,36
94,1,115.73,36
94,2,49.73,29
94,3,73.91,28
94,5,616.67,60
94,6,58.73,25
94,7,199.47,30
94,9,71.67,20
94,11,48.91,22
95,1,142.99,29
95,2,54.55,16
95,3,65.99,18
95,4,119.47,27
95,5,45.45,16
95,7,45.93,21
95,8,92.23,43
95,9,59.37,20
95,10,72.59,29
95,11,37.21,30
96,1,83.74,31
96,2,73.96,40
96,4,80.04,25
96,7,81.62,20
96,8,76.29,23
96,9,277.57,49
96,10,45.32,27
96,11,43.76,18
96,12,97.59,25
97,1,50.85,22
97,2,55.41,17
97,3,57.69,25
97,5,55.55,24
97,6,107.94,26
97,7,75.64,24
97,8,61.76,30
97,10,78.03,27
97,12,70.59,29
98,2,87.35,24
98,4,47.86,28
98,5,58.00,21
98,6,65.45,29
98,7,89.46,34
98,9,42.15,20
98,11,154.23,25
98,12,65.19,26
99,2,163.50,41
99,4,102.27,21
99,6,216.42,31
99,10,52.17,23
99,11,41.65,21
99,12,113.96,42
100,3,90.28,82
100,4,105.40,29
100,5,58.53,27
100,7,64.32,20
100,9,39.63,18
100,10,103.07,24
101,1,42.04,28
101,3,49.67,16
101,4,136.85,39
101,5,45.95,32
101,6,190.33,28
101,8,155.58,58
101,9,33.40,10
101,10,43.10,33
101,12,83.07,23
102,1,81.94,31
102,4,75.46,52
102,5,44.42,17
102,6,53.84,41
102,8,102.68,36
102,9,165.09,45
102,10,78.12,34
102,11,1384.54,38
102,12,208.17,30
103,1,144.52,33
103,3,85.09,49
103,4,53.08,21
103,5,161.12,28
103,6,61.83,21
103,8,73.91,21
103,9,71.98,27
103,10,33.74,29
103,11,446.54,34
103,12,67.58,31
104,2,74.53,23
104,4,78.30,37
104,5,110.96,26
104,6,59.57,26
104,8,192.25,34
104,9,39.39,17
104,11,141.50,35
105,1,51.07,29
105,2,82.91,31
105,3,135.79,61
105,4,263.91,34
105,5,42.48,15
105,6,50.72,18
105,7,106.36,57
105,8,111.97,23
105,9,35.87,12
105,11,82.29,24
105,12,287.16,51
106,4,85.05,22
106,7,178.02,36
106,8,215.92,33
106,12,43.99,15
107,2,80.28,32
107,3,47.64,68
107,4,65.09,30
107,5,64.49,35
107,7,43.23,17
107,8,45.77,35
107,9,92.57,30
107,10,59.26,34
107,12,52.57,21
108,5,213.85,33
108,6,120.74,34
108,7,146.07,34
108,9,131.68,33
108,10,33.94,13
108,12,71.97,19
109,1,42.23,19
109,2,64.67,27
109,4,57.56,24
109,6,48.89,21
109,7,30.74,23
109,8,54.36,31
109,12,106.99,24
110,2,67.87,19
110,3,69.43,23
110,4,86.74,23
110,5,87.94,31
110,6,101.99,22
110,9,35.82,13
110,10,52.42,20
110,12,135.21,29
111,1,40.45,18
111,2,98.34,22
111,3,355.09,29
111,6,83.80,48
111,7,37.13,22
111,10,92.65,44
111,11,237.75,40
111,12,72.70,32
112,1,108.50,41
112,2,43.70,18
112,4,154.36,38
112,7,85.40,21
112,8,71.63,20
112,10,43.11,20
113,2,65.01,25
113,3,125.64,40
113,4,40.21,17
113,5,161.37,38
113,6,167.50,37
113,7,171.56,35
113,11,159.71,32
113,12,64.59,18
114,3,44.44,21
114,4,72.72,35
114,5,50.17,39
114,9,150.60,32
114,11,132.27,28
115,1,52.85,35
115,2,46.41,37
115,3,72.38,31
115,4,71.75,25
115,5,30.21,8
115,6,46.22,21
115,9,169.25,25
115,12,283.09,31
116,1,96.29,21
116,4,72.50,32
116,5,94.87,30
116,7,59.66,31
116,8,1569.20,39
116,9,60.91,24
116,11,56.43,25
116,12,40.19,15
117,1,60.56,24
117,2,95.31,30
117,3,70.48,23
117,7,191.99,28
117,10,77.65,20
117,11,336.43,40
118,3,82.89,40
118,4,28.91,16
118,5,50.78,20
118,6,124.34,27
118,8,56.06,25
118,10,68.45,24
118,12,61.13,31
119,2,41.97,28
119,3,57.00,24
119,4,125.58,26
119,5,71.65,24
119,7,95.91,24
119,9,264.09,38
119,11,84.97,32
120,3,47.33,18
120,4,69.43,28
120,8,42.55,17
120,9,78.82,22
120,11,88.26,23
120,12,181.03,33
121,4,94.81,21
121,5,92.24,33
121,7,72.27,22
121,9,151.67,49
122,1,50.81,29
122,2,67.54,24
122,4,46.45,21
122,5,133.65,26
122,6,104.76,30
122,8,109.26,33
122,9,49.73,33
122,10,94.03,34
123,2,174.63,27
123,3,169.82,44
123,4,322.50,30
123,5,62.98,22
123,7,120.08,41
123,9,56.96,37
123,10,58.20,22
123,11,144.38,28
123,12,207.68,32
124,1,43.30,21
124,2,443.03,35
124,3,98.27,29
124,7,46.39,21
124,8,100.14,25
124,9,37.62,46
124,10,80.41,20
124,11,47.78,24
125,4,43.85,18
125,5,96.84,24
125,6,67.87,27
125,9,337.55,51
125,12,72.87,24
126,1,171.05,28
126,2,33.83,44
126,5,34.49,15
126,7,61.08,26
126,9,30.59,13
126,11,83.35,20
127,2,61.10,37
127,4,103.58,32
127,5,115.59,27
127,6,153.77,25
127,7,46.07,19
127,11,277.40,37
127,12,80.92,29
128,4,59.61,19
128,5,79.28,53
128,6,147.21,24
128,7,132.92,26
128,10,124.17,29
128,11,74.82,24
128,12,224.40,32
129,1,136.75,38
129,4,130.24,35
129,6,95.06,26
129,7,57.45,55
129,8,137.42,36
129,9,77.06,32
129,10,61.69,21
129,11,42.20,18
129,12,30.04,25
130,1,63.73,19
130,4,82.69,51
130,6,441.15,46
130,7,88.47,26
130,8,63.18,27
130,9,46.24,44
130,10,86.70,20
130,11,220.54,30
130,12,110.03,35
131,1,99.02,33
131,2,59.65,22
131,3,72.90,20
131,4,52.58,25
131,5,272.59,28
131,7,47.89,23
131,8,107.20,22
131,9,49.94,20
131,12,114.83,26
132,1,50.01,23
132,2,63.33,40
132,3,62.94,26
132,4,329.36,29
132,5,111.16,26
132,6,35.93,16
132,7,142.58,26
132,9,34.65,22
132,10,29.22,33
132,11,105.54,27
132,12,68.21,25
133,1,99.27,31
133,4,67.36,30
133,9,102.09,37
133,11,50.48,32
133,12,108.40,40
134,4,227.77,44
134,5,150.50,31
134,7,94.85,35
134,8,118.67,31
135,1,218.10,32
135,2,137.15,27
135,3,120.03,27
135,5,103.01,23
135,8,46.08,19
135,12,70.61,41
136,2,79.22,36
136,5,150.33,39
136,9,105.37,31
136,12,82.98,20
137,2,85.12,28
137,3,110.43,29
137,4,121.44,27
137,5,60.71,21
137,6,88.17,30
137,7,71.59,20
137,11,126.50,28
138,1,59.02,19
138,2,78.25,20
138,3,102.28,23
138,4,45.54,28
138,5,436.09,30
138,6,91.48,42
138,7,46.72,18
138,9,29.38,18
138,10,89.77,37
139,1,56.60,21
139,3,72.66,21
139,4,574.05,40
139,6,93.39,38
139,8,116.75,26
139,9,187.06,32
139,10,43.72,22
139,11,154.00,33
140,2,46.63,37
140,3,204.96,39
140,4,120.67,32
140,7,96.98,29
140,8,129.47,32
140,10,163.46,49
140,11,61.91,28
141,1,79.82,23
141,2,132.99,28
141,5,54.35,24
141,6,604.96,35
141,7,66.62,18
141,9,80.50,24
141,10,42.49,23
141,11,71.01,25
142,1,84.57,31
142,2,37.44,16
142,3,44.51,38
142,4,58.13,24
142,5,52.78,20
142,7,43.61,30
142,8,33.20,19
142,9,67.87,31
142,10,81.02,38
142,11,53.76,32
143,1,105.64,31
143,2,162.88,26
143,3,72.09,23
143,5,84.87,42
143,6,72.30,20
143,7,112.03,31
143,9,67.50,23
143,11,88.39,57
143,12,69.64,40
144,3,63.76,27
144,6,47.26,20
144,8,106.04,30
144,10,48.61,19
144,11,38.38,16
145,4,112.61,23
145,5,38.02,39
145,7,44.85,22
145,10,41.94,20
145,11,149.87,42
145,12,39.93,13
146,1,31.04,13
146,2,99.49,25
146,6,93.55,26
146,7,62.16,60
146,10,150.48,37
146,11,46.49,28
147,2,47.21,43
147,3,51.22,33
147,4,78.49,22
147,6,52.51,24
147,7,100.57,25
147,8,119.53,24
147,10,41.98,22
147,11,63.30,26
147,12,150.04,41
148,1,62.75,24
148,2,112.87,30
148,3,168.96,41
148,4,84.25,31
148,5,112.69,38
148,6,76.54,33
148,9,62.12,23
148,10,137.74,24
148,12,305.78,32
149,1,69.12,42
149,2,96.69,24
149,3,45.77,29
149,5,49.89,27
149,7,44.71,21
149,9,36.75,43
149,10,89.15,61
149,11,34.91,22
150,1,97.35,22
150,2,209.63,29
150,8,100.23,33
150,9,90.05,27
150,10,63.31,27
150,11,93.64,22
150,12,47.44,15
151,4,162.09,26
151,5,113.97,28
151,8,280.23,31
151,9,37.23,18
151,12,92.18,23
152,2,40.23,37
152,3,67.01,20
152,4,198.87,38
152,5,152.37,33
152,6,68.34,62
152,9,73.49,26
152,11,43.41,20
152,12,58.51,36
153,1,112.32,35
153,5,31.92,19
153,6,46.20,23
153,7,55.49,22
153,8,54.65,39
153,9,83.77,22
153,10,56.61,39
153,12,73.18,22
154,1,47.35,35
154,2,70.22,33
154,3,49.05,15
154,4,171.34,25
154,5,66.75,19
154,6,35.61,16
154,7,69.12,27
154,10,129.19,25
154,11,64.29,25
154,12,202.43,27
155,1,77.09,34
155,2,80.07,23
155,3,50.84,21
155,5,52.62,19
155,7,81.78,29
155,8,76.52,22
155,10,166.13,34
155,11,81.85,40
155,12,77.07,30
156,1,52.92,19
156,4,57.23,20
156,8,56.76,39
156,9,95.42,29
156,10,68.43,21
156,12,123.03,31
157,1,65.83,20
157,3,82.22,36
157,6,223.80,36
157,7,134.00,36
157,8,30.08,35
157,9,85.75,22
157,10,127.06,28
158,1,69.47,26
158,2,213.04,33
158,3,57.46,20
158,4,274.73,35
158,5,1158.77,42
158,6,80.83,25
158,7,64.86,20
158,8,88.46,45
158,12,481.59,60
159,3,159.82,24
159,5,87.25,33
159,6,84.40,29
159,9,38.59,34
159,11,49.20,16
159,12,92.06,21
160,2,42.99,32
160,4,227.84,38
160,5,100.57,31
160,7,166.32,61
161,1,102.72,32
161,2,34.20,14
161,5,63.11,26
161,6,50.03,19
161,9,75.23,32
161,10,62.29,30
162,2,121.75,34
162,4,76.55,26
162,10,76.50,26
162,12,48.19,22
163,4,83.94,36
163,5,260.00,59
163,6,230.50,29
163,7,110.07,34
163,10,59.16,28
163,11,46.00,24
163,12,35.02,15
164,3,41.86,25
164,4,53.91,23
164,6,103.64,38
164,7,182.59,26
164,8,45.61,25
164,9,132.29,23
164,10,67.74,19
164,11,94.44,22
164,12,79.40,21
165,2,43.61,43
165,5,145.50,30
165,7,58.35,18
165,8,118.23,28
165,10,52.96,21
166,1,64.18,37
166,2,40.31,35
166,3,79.26,23
166,4,285.87,47
166,5,88.64,44
166,7,188.61,26
166,8,62.29,20
166,9,114.61,42
166,10,110.01,23
166,12,82.73,32
167,1,249.05,41
167,5,98.35,27
167,6,101.40,37
167,7,39.20,55
167,8,55.12,30
167,9,47.26,15
167,11,137.32,33
168,3,73.67,26
168,4,106.97,34
168,5,51.91,22
168,6,87.94,29
168,7,62.78,25
168,8,47.15,26
168,9,105.91,27
168,11,84.30,34
169,1,48.26,19
169,2,120.75,29
169,8,71.50,30
169,9,180.14,27
169,10,37.84,22
169,11,58.98,18
169,12,216.89,35
170,2,57.31,22
170,3,40.46,22
170,4,65.33,20
170,6,88.52,25
170,7,68.24,35
170,8,129.81,27
170,10,93.39,23
170,11,76.73,33
170,12,73.80,43
171,1,76.12,23
171,3,51.12,21
171,4,256.35,39
171,5,89.77,28
171,6,68.35,19
171,7,70.18,21
171,8,71.61,27
171,9,144.62,40
171,10,56.78,24
171,12,28.31,19
172,1,55.06,22
172,4,41.72,39
172,5,219.88,30
172,6,72.08,29
172,7,60.94,25
172,8,110.99,24
173,1,89.66,29
173,2,101.60,27
173,3,49.47,46
173,4,102.18,50
173,5,36.44,19
173,7,232.17,30
173,9,97.73,32
173,11,169.55,28
174,1,414.52,40
174,3,94.55,25
174,5,40.18,32
174,6,34.74,19
174,9,98.52,25
174,10,40.24,22
174,11,139.70,31
174,12,48.94,19
175,2,94.70,29
175,3,105.29,24
175,5,65.07,33
175,9,110.77,23
175,10,73.20,26
175,11,83.46,34
175,12,46.23,21
176,2,134.30,43
176,3,209.37,31
176,5,68.93,29
176,6,230.92,34
176,8,188.19,33
176,10,142.18,28
176,11,53.81,26
176,12,58.63,22
177,7,207.59,49
177,8,81.81,26
177,9,65.09,26
177,10,69.26,34
177,12,57.43,19
178,2,40.59,28
178,4,51.98,24
178,5,153.62,26
178,8,98.84,35
178,9,37.75,17
178,11,53.35,27
179,1,71.66,37
179,2,73.68,21
179,3,82.85,24
179,5,128.77,32
179,6,52.57,16
179,9,45.76,38
179,11,64.65,28
180,2,62.86,18
180,4,164.01,31
180,7,65.80,23
180,9,67.05,23
180,11,61.04,18
180,12,161.72,24
181,1,69.98,22
181,5,52.45,38
181,6,181.81,25
181,7,62.31,23
181,8,52.53,20
181,9,80.27,36
181,11,65.50,23
181,12,323.31,49
182,1,75.19,37
182,3,87.62,24
182,4,113.53,29
182,5,83.47,26
182,6,63.20,20
182,7,153.86,51
182,9,58.59,24
182,10,90.35,32
182,11,146.74,43
182,12,116.47,38
183,1,152.46,25
183,2,155.29,33
183,3,48.63,22
183,4,233.43,27
183,5,89.03,33
183,8,36.11,23
183,10,59.65,32
183,12,37.23,16
184,1,39.94,18
184,3,166.09,31
184,4,171.82,37
184,5,59.50,25
184,7,74.73,24
184,10,181.02,51
184,11,90.42,27
185,6,142.95,40
185,7,81.67,20
185,9,109.16,28
185,10,74.93,24
185,11,127.45,34
186,1,72.74,68
186,2,135.39,27
186,3,51.53,24
186,4,296.97,28
186,8,59.74,32
186,9,60.54,30
186,10,427.82,32
186,11,48.81,26
186,12,81.01,22
187,1,53.50,22
187,3,102.14,34
187,4,68.11,24
187,5,180.34,30
187,6,51.49,22
187,8,45.56,21
187,12,91.83,26
188,2,43.86,22
188,3,82.68,26
188,4,90.59,32
188,7,51.36,24
188,8,29.60,31
188,9,47.56,31
188,12,88.59,26
189,1,51.64,17
189,2,107.03,31
189,5,112.74,24
189,8,46.59,70
189,9,81.83,30
189,10,120.84,23
189,12,84.38,30
190,1,131.56,37
190,2,94.35,22
190,7,79.97,33
190,8,70.79,28
190,10,55.64,32
